GEO,REF_DATE,Statistics,UID,VALUE
"Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal [35129]",2003,Crime severity index,,21.3
"Grey Bruce (Georgian Bluffs), Ontario, Ontario Provincial Police, municipal [35138]",2014,Crime severity index,,21.3
"Deep River, Ontario, municipal [35078]",2019,Crime severity index,,21.3
"Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal [35129]",2018,Crime severity index,,21.35
"South Simcoe (Innisfil), Ontario, municipal [35275]",2018,Crime severity index,367,21.35
"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal [35160]",2020,Crime severity index,,21.36
"Thunder Bay (Thunder Bay South), Ontario, Ontario Provincial Police, municipal [35220]",2015,Crime severity index,,21.37
"Dufferin (Mono), Ontario, Ontario Provincial Police, municipal [35026]",2017,Crime severity index,,21.4
"Anishinabek, Ontario, municipal [35006]",2008,Crime severity index,,21.45
"Drummond-North Elmsley, Ontario, Ontario Provincial Police, municipal [35250]",2019,Crime severity index,,21.46
"Lennox and Addington County (Stone Mills), Ontario, Ontario Provincial Police, municipal [35035]",2017,Crime severity index,209,21.49
"Deep River, Ontario, municipal [35078]",2015,Crime severity index,,21.54
"Thunder Bay (Thunder Bay South), Ontario, Ontario Provincial Police, municipal [35220]",2020,Crime severity index,,21.56
"Essex County (Lakeshore), Ontario, Ontario Provincial Police, municipal [35502]",2013,Crime severity index,,21.61
"Lanark County (Mississippi Mills), Ontario, Ontario Provincial Police, municipal [35036]",2015,Crime severity index,200,21.63
"Oxford (Blandford-Blenheim), Ontario, Ontario Provincial Police, municipal [35188]",2016,Crime severity index,288,21.65
"Deep River, Ontario, municipal [35078]",2020,Crime severity index,,21.68
"Upper Ottawa Valley (Petawawa), Ontario, Ontario Provincial Police, municipal [35169]",2019,Crime severity index,,21.75
"Lanark County (Mississippi Mills), Ontario, Ontario Provincial Police, municipal [35036]",2014,Crime severity index,,21.79
"Anishinabek, Ontario, municipal [35006]",2011,Crime severity index,,21.92
"Anishinabek, Ontario, municipal [35006]",2010,Crime severity index,,21.96
"Huronia West (Springwater), Ontario, Ontario Provincial Police, municipal [35274]",2020,Crime severity index,,21.96
"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal [35160]",2006,Crime severity index,,22
"Sault Ste. Marie (Macdonald/Meredith), Ontario, Ontario Provincial Police, municipal [35132]",2014,Crime severity index,,22
"Lanark County (Mississippi Mills), Ontario, Ontario Provincial Police, municipal [35036]",2020,Crime severity index,,22
"Southern Georgian Bay (Tiny), Ontario, Ontario Provincial Police, municipal [35253]",2020,Crime severity index,372,22
"Essex County (Essex), Ontario, Ontario Provincial Police, municipal [35101]",2016,Crime severity index,89,22
"Peterborough County (Selwyn), Ontario, Ontario Provincial Police, municipal [35023]",2007,Crime severity index,,22
"Upper Ottawa Valley (Petawawa), Ontario, Ontario Provincial Police, municipal [35169]",2006,Crime severity index,,22.14
"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal [35161]",2004,Crime severity index,,22.17
"Nipigon (Terrace Bay), Ontario, Ontario Provincial Police, municipal [35115]",2016,Crime severity index,247,22.24
"Arnprior, Ontario, Ontario Provincial Police, rural [35120]",2011,Crime severity index,,22.27
"Oxford (Blandford-Blenheim), Ontario, Ontario Provincial Police, municipal [35188]",2017,Crime severity index,,22.28
"Grey Bruce (Georgian Bluffs), Ontario, Ontario Provincial Police, municipal [35138]",2011,Crime severity index,,22.32
"Renfrew (Admaston/Bromley), Ontario, Ontario Provincial Police, municipal [35166]",2018,Crime severity index,,22.32
"Dufferin (Mulmur), Ontario, Ontario Provincial Police, municipal [35163]",2019,Crime severity index,,22.37
"Russell County (Russell), Ontario, Ontario Provincial Police, municipal [35179]",2014,Crime severity index,,22.46
"Northumberland (Hamilton), Ontario, Ontario Provincial Police, municipal [35170]",2018,Crime severity index,,22.49
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2010,Crime severity index,,22.66
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2019,Crime severity index,,22.67
"James Bay (Smooth Rock Falls), Ontario, Ontario Provincial Police, municipal [35079]",2014,Crime severity index,,22.74
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2020,Crime severity index,,22.75
"Northumberland (Hamilton), Ontario, Ontario Provincial Police, municipal [35170]",2016,Crime severity index,,22.77
"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",2020,Crime severity index,131,22.77
"Northumberland (Brighton), Ontario, Ontario Provincial Police, municipal [35016]",2015,Crime severity index,263,22.82
"Upper Ottawa Valley (Petawawa), Ontario, Ontario Provincial Police, municipal [35169]",2020,Crime severity index,,22.9
"Peterborough County (Asphodel-Norwood), Ontario, Ontario Provincial Police, municipal [35018]",2014,Crime severity index,,22.93
"Perth County, Ontario, Ontario Provincial Police, rural [35538]",2014,Crime severity index,304,22.95
"Northumberland (Hamilton), Ontario, Ontario Provincial Police, municipal [35170]",2012,Crime severity index,,22.96
"Lanark County (Mississippi Mills), Ontario, Ontario Provincial Police, municipal [35036]",2018,Crime severity index,,22.97
"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal [35161]",2018,Crime severity index,,22.98
"Essex County (Lakeshore), Ontario, Ontario Provincial Police, municipal [35502]",2015,Crime severity index,,23
"Arnprior, Ontario, Ontario Provincial Police, rural [35120]",2008,Crime severity index,,23
"Grenville County (Augusta), Ontario, Ontario Provincial Police, municipal [35044]",2005,Crime severity index,,23.1
"Dufferin (Mulmur), Ontario, Ontario Provincial Police, municipal [35163]",2020,Crime severity index,,23.11
"Prince Edward, Ontario, Ontario Provincial Police, municipal [35077]",1999,Crime severity index,323,23.14
"Dufferin (Town of Grand Valley), Ontario, Ontario Provincial Police, municipal [35119]",2020,Crime severity index,,23.14
"Oxford (Norwich), Ontario, Ontario Provincial Police, municipal [35187]",2010,Crime severity index,291,23.17
"Russell County (Russell), Ontario, Ontario Provincial Police, municipal [35179]",2016,Crime severity index,,23.18
"Essex County (Kingsville), Ontario, Ontario Provincial Police, municipal [35508]",2015,Crime severity index,,23.21
"Thunder Bay (Shuniah), Ontario, Ontario Provincial Police, municipal [35033]",2016,Crime severity index,399,23.22
"Northumberland (Cramahe), Ontario, Ontario Provincial Police, municipal [35113]",2014,Crime severity index,264,23.24
"Dufferin (Mono), Ontario, Ontario Provincial Police, municipal [35026]",2019,Crime severity index,,23.25
"Nipigon (Terrace Bay), Ontario, Ontario Provincial Police, municipal [35115]",2014,Crime severity index,,23.26
"Renfrew (Admaston/Bromley), Ontario, Ontario Provincial Police, municipal [35166]",2012,Crime severity index,,23.29
"Essex County (Tecumseh), Ontario, Ontario Provincial Police, municipal [35506]",2013,Crime severity index,94,23.29
"Peterborough County (Selwyn), Ontario, Ontario Provincial Police, municipal [35023]",2020,Crime severity index,,23.32
"Lanark County (Tay Valley Township), Ontario, Ontario Provincial Police, municipal [35040]",2015,Crime severity index,203,23.34
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2008,Crime severity index,,23.38
"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",2015,Crime severity index,,23.42
"Northumberland (Hamilton), Ontario, Ontario Provincial Police, municipal [35170]",2009,Crime severity index,,23.43
"Essex County (Kingsville), Ontario, Ontario Provincial Police, municipal [35508]",2013,Crime severity index,,23.43
"Upper Ottawa Valley (Laurentian Hills), Ontario, Ontario Provincial Police, municipal [35173]",2013,Crime severity index,,23.45
"Lanark County (Mississippi Mills), Ontario, Ontario Provincial Police, municipal [35036]",2012,Crime severity index,,23.54
"Sault Ste. Marie (Laird), Ontario, Ontario Provincial Police, municipal [35134]",2019,Crime severity index,,23.55
"Essex County (Essex), Ontario, Ontario Provincial Police, municipal [35101]",2015,Crime severity index,,23.56
"Northumberland (Hamilton), Ontario, Ontario Provincial Police, municipal [35170]",2017,Crime severity index,,23.57
"Essex County (Lakeshore), Ontario, Ontario Provincial Police, municipal [35502]",2016,Crime severity index,,23.63
"Peterborough County (Asphodel-Norwood), Ontario, Ontario Provincial Police, municipal [35018]",2020,Crime severity index,,23.64
"Upper Ottawa Valley (Petawawa), Ontario, Ontario Provincial Police, municipal [35169]",2016,Crime severity index,,23.66
"South Simcoe (Innisfil), Ontario, municipal [35275]",2017,Crime severity index,,23.66
"Peterborough County (Selwyn), Ontario, Ontario Provincial Police, municipal [35023]",2014,Crime severity index,,23.67
"Northumberland (Alnwick/Haldimand), Ontario, Ontario Provincial Police, municipal [35091]",2013,Crime severity index,,23.69
"Central Hastings (Stirling-Rawdon), Ontario, Ontario Provincial Police, municipal [35273]",2019,Crime severity index,,23.69
"Peterborough County (Selwyn), Ontario, Ontario Provincial Police, municipal [35023]",2016,Crime severity index,,23.7
"LaSalle, Ontario, municipal [35388]",2016,Crime severity index,,23.73
"North Bay (Powassan), Ontario, Ontario Provincial Police, municipal [35068]",2018,Crime severity index,256,23.73
